 18-Sep-2016       (1.000 *bam1o20_0p25mg_ - 1.001 *bam1o20_buffer_) /  1.0000
bam1o20_0p25  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.221155E+00  0.803186E-03  0.614628E-03
  0.221886E+00  0.124203E-02  0.626555E-03
  0.222616E+00  0.755772E-03  0.607798E-03
  0.223346E+00  0.245702E-03  0.611673E-03
  0.224077E+00  0.151103E-02  0.608549E-03
  0.224807E+00  0.117106E-02  0.597542E-03
  0.225537E+00  0.973360E-03  0.609053E-03
  0.226268E+00  0.156485E-02  0.597116E-03
  0.226998E+00  0.112165E-02  0.597487E-03
  0.227728E+00  0.877314E-03  0.602158E-03
  0.228459E+00  0.783757E-03  0.595096E-03
  0.229189E+00  0.106007E-02  0.591300E-03
  0.229919E+00  0.757883E-03  0.593498E-03
  0.230650E+00  0.561481E-03  0.587197E-03
  0.231380E+00  0.964198E-03  0.587975E-03
  0.232110E+00  0.429003E-03  0.604338E-03
  0.232840E+00  0.113451E-02  0.597999E-03
  0.233571E+00  0.881770E-03  0.583780E-03
  0.234301E+00  0.675304E-03  0.590901E-03
  0.235031E+00  0.532036E-03  0.587598E-03
  0.235761E+00  0.224803E-03  0.571803E-03
  0.236491E+00  0.434814E-03  0.571442E-03
  0.237222E+00  0.653198E-03  0.581651E-03
  0.237952E+00  0.769072E-03  0.576961E-03
  0.238682E+00  0.358025E-03  0.575707E-03
  0.239412E+00  0.272020E-03  0.576509E-03
  0.240142E+00  0.474077E-03  0.570811E-03
  0.240873E+00  0.141233E-02  0.566568E-03
  0.241603E+00  0.343066E-03  0.576450E-03
  0.242333E+00  0.461184E-03  0.557708E-03
  0.243063E+00  0.668301E-03  0.574191E-03
  0.243793E+00  0.548238E-03  0.566169E-03
  0.244523E+00  0.158252E-03  0.573800E-03
  0.245253E+00  0.679655E-03  0.558458E-03
  0.245984E+00  0.203240E-03  0.574356E-03
  0.246714E+00  0.885071E-03  0.576897E-03
  0.247444E+00  0.984488E-03  0.570952E-03
  0.248174E+00  0.256592E-03  0.591286E-03
  0.248904E+00  0.413430E-03  0.575513E-03
  0.249634E+00  0.201300E-03  0.586155E-03
  0.250364E+00  0.839758E-03  0.582442E-03
  0.251094E+00  0.816243E-03  0.590129E-03
  0.251824E+00  0.430615E-03  0.582960E-03
  0.252554E+00  0.290576E-03  0.578829E-03
  0.253284E+00  0.229756E-03  0.583727E-03
  0.254014E+00  0.356734E-03  0.582094E-03
  0.254744E+00  0.625093E-03  0.582561E-03
  0.255474E+00  0.286932E-03  0.587714E-03
  0.256204E+00  0.407088E-03  0.582736E-03
  0.256934E+00 -0.231587E-03  0.563854E-03
  0.257664E+00  0.310385E-03  0.580610E-03
  0.258394E+00  0.105269E-02  0.580019E-03
  0.259124E+00  0.468234E-03  0.582157E-03
  0.259854E+00  0.646455E-03  0.579107E-03
  0.260584E+00  0.101788E-02  0.575603E-03
  0.261314E+00  0.105498E-02  0.584559E-03
  0.262044E+00  0.336029E-03  0.590900E-03
  0.262774E+00  0.668925E-04  0.586679E-03
  0.263504E+00  0.203121E-03  0.576021E-03
  0.264234E+00  0.147427E-03  0.575122E-03
  0.264964E+00  0.902432E-03  0.570397E-03
  0.265693E+00  0.695696E-03  0.578098E-03
  0.266423E+00  0.962970E-03  0.577421E-03
  0.267153E+00  0.599435E-03  0.571614E-03
  0.267883E+00  0.338912E-03  0.578437E-03
  0.268613E+00  0.219131E-03  0.583676E-03
  0.269343E+00  0.610497E-03  0.572823E-03
  0.270073E+00 -0.408455E-04  0.584765E-03
  0.270802E+00  0.247083E-04  0.584183E-03
  0.271532E+00 -0.216121E-03  0.580830E-03
  0.272262E+00  0.460560E-03  0.575267E-03
  0.272992E+00  0.365326E-03  0.584243E-03
  0.273722E+00 -0.121774E-04  0.577235E-03
  0.274451E+00 -0.731237E-04  0.569626E-03
  0.275181E+00  0.276940E-03  0.573688E-03
  0.275911E+00  0.326439E-04  0.571298E-03
  0.276641E+00 -0.360123E-04  0.584930E-03
  0.277371E+00 -0.165433E-03  0.567786E-03
  0.278100E+00  0.104583E-02  0.574222E-03
  0.278830E+00  0.975411E-04  0.582532E-03
  0.279560E+00  0.499150E-03  0.567290E-03
  0.280289E+00 -0.604485E-04  0.567472E-03
  0.281019E+00  0.238194E-03  0.578377E-03
  0.281749E+00  0.447960E-03  0.567199E-03
  0.282479E+00  0.543815E-03  0.566280E-03
  0.283208E+00  0.789828E-03  0.574066E-03
  0.283938E+00  0.182216E-03  0.564619E-03
