 18-Sep-2016       (1.000 *bam1o20_2mg_avg - 1.012 *bam1o20_buffer_) /  1.0000
bam1o20_2mg_  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.170744E+00  0.125524E-01  0.706771E-03
  0.171475E+00  0.117278E-01  0.700872E-03
  0.172206E+00  0.124422E-01  0.708555E-03
  0.172937E+00  0.126434E-01  0.703977E-03
  0.173667E+00  0.127050E-01  0.693307E-03
  0.174398E+00  0.119442E-01  0.694064E-03
  0.175129E+00  0.122924E-01  0.690305E-03
  0.175860E+00  0.120442E-01  0.689883E-03
  0.176590E+00  0.123529E-01  0.684754E-03
  0.177321E+00  0.122750E-01  0.689477E-03
  0.178052E+00  0.125705E-01  0.686398E-03
  0.178783E+00  0.117978E-01  0.682536E-03
  0.179513E+00  0.121389E-01  0.675802E-03
  0.180244E+00  0.120720E-01  0.677922E-03
  0.180975E+00  0.127368E-01  0.682371E-03
  0.181706E+00  0.115492E-01  0.680823E-03
  0.182436E+00  0.123360E-01  0.665124E-03
  0.183167E+00  0.117703E-01  0.675576E-03
  0.183898E+00  0.127944E-01  0.673604E-03
  0.184629E+00  0.121756E-01  0.661791E-03
  0.185359E+00  0.125918E-01  0.676730E-03
  0.186090E+00  0.122947E-01  0.661632E-03
  0.186821E+00  0.122469E-01  0.672521E-03
  0.187551E+00  0.125522E-01  0.669608E-03
  0.188282E+00  0.121592E-01  0.656100E-03
  0.189013E+00  0.125292E-01  0.653622E-03
  0.189743E+00  0.122125E-01  0.664137E-03
  0.190474E+00  0.116736E-01  0.664987E-03
  0.191205E+00  0.117510E-01  0.659533E-03
  0.191935E+00  0.117439E-01  0.651062E-03
  0.192666E+00  0.120605E-01  0.647124E-03
  0.193396E+00  0.116685E-01  0.641682E-03
  0.194127E+00  0.117539E-01  0.645663E-03
  0.194858E+00  0.111055E-01  0.646476E-03
  0.195588E+00  0.116989E-01  0.643904E-03
  0.196319E+00  0.116625E-01  0.645153E-03
  0.197049E+00  0.117817E-01  0.642391E-03
  0.197780E+00  0.109475E-01  0.639528E-03
  0.198511E+00  0.111801E-01  0.642718E-03
  0.199241E+00  0.111483E-01  0.632816E-03
  0.199972E+00  0.113227E-01  0.641249E-03
  0.200702E+00  0.110044E-01  0.637993E-03
  0.201433E+00  0.110839E-01  0.634301E-03
  0.202163E+00  0.104798E-01  0.641578E-03
  0.202894E+00  0.101760E-01  0.630699E-03
  0.203625E+00  0.105610E-01  0.629150E-03
  0.204355E+00  0.104733E-01  0.634998E-03
  0.205086E+00  0.100986E-01  0.639096E-03
  0.205816E+00  0.102088E-01  0.628301E-03
  0.206547E+00  0.101790E-01  0.630099E-03
  0.207277E+00  0.105956E-01  0.627988E-03
  0.208008E+00  0.106305E-01  0.628401E-03
  0.208738E+00  0.971189E-02  0.640237E-03
  0.209469E+00  0.932216E-02  0.655860E-03
  0.210199E+00  0.928170E-02  0.637415E-03
  0.210930E+00  0.957858E-02  0.643467E-03
  0.211660E+00  0.948648E-02  0.630024E-03
  0.212390E+00  0.927423E-02  0.629620E-03
  0.213121E+00  0.912948E-02  0.627868E-03
  0.213851E+00  0.926743E-02  0.636712E-03
  0.214582E+00  0.866188E-02  0.640065E-03
  0.215312E+00  0.939697E-02  0.637048E-03
  0.216043E+00  0.876499E-02  0.629462E-03
