 18-Sep-2016       (1.000 *bam1o20_0p5mg_a - 1.003 *bam1o20_buffer_) /  1.0000
bam1o20_0p5m  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.190474E+00  0.247439E-02  0.649701E-03
  0.191205E+00  0.325667E-02  0.642627E-03
  0.191935E+00  0.357385E-02  0.637920E-03
  0.192666E+00  0.300789E-02  0.632052E-03
  0.193396E+00  0.250577E-02  0.631402E-03
  0.194127E+00  0.320509E-02  0.633438E-03
  0.194858E+00  0.255533E-02  0.632409E-03
  0.195588E+00  0.320834E-02  0.633772E-03
  0.196319E+00  0.281650E-02  0.631162E-03
  0.197049E+00  0.307436E-02  0.630338E-03
  0.197780E+00  0.305788E-02  0.623741E-03
  0.198511E+00  0.291062E-02  0.627814E-03
  0.199241E+00  0.233498E-02  0.619870E-03
  0.199972E+00  0.326699E-02  0.624500E-03
  0.200702E+00  0.230318E-02  0.621467E-03
  0.201433E+00  0.294845E-02  0.624287E-03
  0.202163E+00  0.240663E-02  0.624907E-03
  0.202894E+00  0.242014E-02  0.620658E-03
  0.203625E+00  0.275317E-02  0.615278E-03
  0.204355E+00  0.300596E-02  0.623201E-03
  0.205086E+00  0.233843E-02  0.625442E-03
  0.205816E+00  0.278647E-02  0.611714E-03
  0.206547E+00  0.276955E-02  0.617429E-03
  0.207277E+00  0.258801E-02  0.613178E-03
  0.208008E+00  0.339595E-02  0.616503E-03
  0.208738E+00  0.244650E-02  0.629148E-03
  0.209469E+00  0.215016E-02  0.639081E-03
  0.210199E+00  0.261162E-02  0.624511E-03
  0.210930E+00  0.253037E-02  0.630394E-03
  0.211660E+00  0.290905E-02  0.621748E-03
  0.212390E+00  0.247278E-02  0.618438E-03
  0.213121E+00  0.215100E-02  0.616574E-03
  0.213851E+00  0.258418E-02  0.622777E-03
  0.214582E+00  0.252734E-02  0.628736E-03
  0.215312E+00  0.254304E-02  0.628774E-03
  0.216043E+00  0.235497E-02  0.619200E-03
  0.216773E+00  0.192862E-02  0.634914E-03
  0.217503E+00  0.262797E-02  0.626095E-03
  0.218234E+00  0.167630E-02  0.634225E-03
  0.218964E+00  0.207188E-02  0.633880E-03
  0.219695E+00  0.223879E-02  0.630143E-03
  0.220425E+00  0.230316E-02  0.624535E-03
  0.221155E+00  0.166956E-02  0.618025E-03
  0.221886E+00  0.284300E-02  0.627123E-03
  0.222616E+00  0.171912E-02  0.609284E-03
  0.223346E+00  0.148090E-02  0.611284E-03
  0.224077E+00  0.243588E-02  0.609098E-03
  0.224807E+00  0.217217E-02  0.601836E-03
  0.225537E+00  0.248438E-02  0.608665E-03
  0.226268E+00  0.226035E-02  0.600418E-03
  0.226998E+00  0.182234E-02  0.598000E-03
  0.227728E+00  0.224154E-02  0.601775E-03
  0.228459E+00  0.191537E-02  0.597485E-03
  0.229189E+00  0.228672E-02  0.590883E-03
  0.229919E+00  0.194315E-02  0.592214E-03
  0.230650E+00  0.142024E-02  0.591418E-03
  0.231380E+00  0.153819E-02  0.589405E-03
  0.232110E+00  0.187881E-02  0.606683E-03
  0.232840E+00  0.209453E-02  0.597634E-03
  0.233571E+00  0.155931E-02  0.582458E-03
  0.234301E+00  0.174591E-02  0.593236E-03
  0.235031E+00  0.132231E-02  0.589032E-03
  0.235761E+00  0.103901E-02  0.575972E-03
  0.236491E+00  0.973643E-03  0.571023E-03
  0.237222E+00  0.138259E-02  0.583091E-03
  0.237952E+00  0.152562E-02  0.578380E-03
  0.238682E+00  0.134777E-02  0.580735E-03
  0.239412E+00  0.136736E-02  0.580592E-03
  0.240142E+00  0.135243E-02  0.574915E-03
  0.240873E+00  0.142369E-02  0.568876E-03
  0.241603E+00  0.849097E-03  0.577858E-03
  0.242333E+00  0.155555E-02  0.560901E-03
  0.243063E+00  0.178650E-02  0.577349E-03
  0.243793E+00  0.172951E-02  0.566664E-03
  0.244523E+00  0.101896E-02  0.574314E-03
  0.245253E+00  0.892566E-03  0.558070E-03
  0.245984E+00  0.108672E-02  0.578396E-03
  0.246714E+00  0.161631E-02  0.580112E-03
  0.247444E+00  0.160776E-02  0.573251E-03
  0.248174E+00  0.107768E-02  0.592711E-03
  0.248904E+00  0.938090E-03  0.578717E-03
  0.249634E+00  0.110700E-02  0.591191E-03
  0.250364E+00  0.144198E-02  0.585670E-03
  0.251094E+00  0.121413E-02  0.591565E-03
  0.251824E+00  0.101895E-02  0.587103E-03
  0.252554E+00  0.100263E-02  0.582079E-03
  0.253284E+00  0.874570E-03  0.583341E-03
  0.254014E+00  0.116720E-02  0.581708E-03
  0.254744E+00  0.100098E-02  0.583989E-03
  0.255474E+00  0.116309E-02  0.591855E-03
  0.256204E+00  0.971363E-03  0.583273E-03
  0.256934E+00  0.734140E-03  0.567155E-03
  0.257664E+00  0.102006E-02  0.582933E-03
  0.258394E+00  0.115548E-02  0.579637E-03
  0.259124E+00  0.101310E-02  0.580835E-03
  0.259854E+00  0.105606E-02  0.580543E-03
  0.260584E+00  0.125173E-02  0.577939E-03
  0.261314E+00  0.121885E-02  0.587802E-03
  0.262044E+00  0.132539E-02  0.593216E-03
  0.262774E+00  0.703578E-03  0.589019E-03
  0.263504E+00  0.612462E-03  0.576523E-03
  0.264234E+00  0.995181E-03  0.581079E-03
  0.264964E+00  0.130879E-02  0.574611E-03
  0.265693E+00  0.109989E-02  0.581359E-03
  0.266423E+00  0.130761E-02  0.573375E-03
  0.267153E+00  0.750404E-03  0.572115E-03
  0.267883E+00  0.708137E-03  0.579863E-03
  0.268613E+00  0.250293E-03  0.582406E-03
  0.269343E+00  0.117409E-02  0.575166E-03
  0.270073E+00  0.103086E-02  0.585311E-03
  0.270802E+00  0.801825E-03  0.585620E-03
  0.271532E+00  0.242336E-03  0.583150E-03
  0.272262E+00  0.725782E-03  0.575777E-03
  0.272992E+00  0.529978E-03  0.585669E-03
  0.273722E+00  0.244968E-03  0.575925E-03
  0.274451E+00  0.704929E-03  0.575628E-03
  0.275181E+00  0.236221E-03  0.576913E-03
  0.275911E+00  0.585032E-03  0.573621E-03
  0.276641E+00  0.532063E-03  0.585464E-03
  0.277371E+00  0.990016E-04  0.569188E-03
  0.278100E+00  0.821487E-03  0.574735E-03
  0.278830E+00  0.588323E-03  0.583957E-03
  0.279560E+00  0.459949E-03  0.571457E-03
  0.280289E+00  0.469555E-03  0.569794E-03
  0.281019E+00  0.616783E-03  0.580697E-03
  0.281749E+00  0.689979E-03  0.569533E-03
  0.282479E+00  0.884345E-03  0.565890E-03
  0.283208E+00  0.423483E-03  0.578232E-03
  0.283938E+00  0.313647E-03  0.564228E-03
  0.284668E+00  0.559486E-03  0.558839E-03
  0.285397E+00  0.645183E-03  0.567388E-03
  0.286127E+00  0.193468E-03  0.570898E-03
  0.286856E+00  0.131586E-03  0.568872E-03
  0.287586E+00  0.433792E-03  0.575143E-03
  0.288316E+00  0.134288E-02  0.571943E-03
  0.289045E+00  0.951890E-05  0.569957E-03
  0.289775E+00  0.125133E-03  0.567697E-03
  0.290504E+00  0.104162E-02  0.559911E-03
  0.291234E+00  0.597186E-03  0.552680E-03
  0.291964E+00  0.361004E-03  0.558990E-03
